City,State,Country,Property Type clean,Sub-Area clean,Company Name clean,TownShip Name/ Society Name clean,Description clean,ClubHouse Clean,School / University in Township Clean,Hospital in TownShip Clean,Mall in TownShip Clean,Park / Jogging track Clean,Swimming Pool Clean,Gym Clean,Property Area in Sq. Ft. clean,Price in lakhs clean,log Price in lakhs clean,Price by sub-area,Price by company,Price by township_society,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,compound,negative,positive,neutral,amenities like,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,quality specification,stories offering,towers stories,world class
pune,maharashtra,india,1.0,kharadi,mantra properties,mantra 29 gold,mantra gold wonderful property offering bedroom apartments ready lifestyle amenities health nature entertainment offers complete package satisfy everyone family short mantra gold best value get money,1,0,0,0,1,0,1,446.0,37.0,3.6375861597263857,66.31062531471252,75.10714285714286,69.76923076923077,3.0,54.24677473498929,13,1,5,0.9559,0.0,0.482,0.518,0,0,0,0,2,1,0,0,0,0
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,mantra gold wonderful property offering bedroom apartments ready lifestyle amenities health nature entertainment offers complete package satisfy everyone family,1,0,0,0,1,0,1,796.0,57.0,4.060443010546419,66.31062531471252,75.10714285714286,69.76923076923077,4.0,64.43418602610744,9,0,4,0.9001,0.0,0.444,0.556,0,0,0,0,1,1,0,0,0,0
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,mantra gold comes connectivity kharadi hub booming industrial belt rajangaon lonikand kharadi fast transforming sought destination easy accessibility airport star hotels lifestyle malls adds greater value convenient happy lifestyle,1,0,0,0,1,0,1,842.0,59.0,4.0943445622221,66.31062531471252,75.10714285714286,69.76923076923077,4.0,64.43418602610744,14,1,3,0.8885,0.0,0.315,0.685,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,mantra gold offers state art amenities time budget friendly proximity kalyani nagar ranjangaon industrial area hubs kharadi kalyani nagar magarpatta,1,0,0,0,1,0,1,865.0,61.0,4.127134385045092,66.31062531471252,75.10714285714286,69.76923076923077,4.0,64.43418602610744,11,0,3,0.4939,0.0,0.144,0.856,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,easy access upcoming metro station proposed metro phase linking vanaz ramwadi resident families mantra gold already enjoying happy lifestyle makes best choice,1,0,0,0,1,0,1,902.0,63.0,4.1588830833596715,66.31062531471252,75.10714285714286,69.76923076923077,4.0,64.43418602610744,6,1,7,0.9349,0.0,0.441,0.559,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,2.0,kharadi,mantra properties,mantra 29 gold,mantra properties proudly presents gold standard community imposing storey towers spread sprawling acres close star hotels lifestyle easy connectivity airport,1,0,0,0,1,0,1,1154.0,79.0,4.382026634673881,66.31062531471252,75.10714285714286,69.76923076923077,4.0,64.43418602610744,4,2,5,0.7269,0.056,0.261,0.683,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,designed p singapore one worlds best architect firms homes seamless blend mantra gold standard lifestyle affordability inside compact bhk apartements offer exceptional lifestyle basic amenities included,1,0,0,0,1,0,1,872.0,61.0,4.127134385045092,66.31062531471252,75.10714285714286,69.76923076923077,5.0,75.72947364940978,8,0,6,0.6369,0.0,0.149,0.851,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,mantra gold bhk flats kharadi excellent opportunity rapidly growing residential area great amenities area reserved top terrace indoor games children th floor level parking convenience make truly unique,1,0,0,0,1,0,1,934.0,65.0,4.189654742026425,66.31062531471252,75.10714285714286,69.76923076923077,5.0,75.72947364940978,11,1,6,0.9432,0.0,0.436,0.564,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,mantra gold bhk flats location translates advantageous investment east flourishing location connectivity wadgaon sheri hub booming industrial belt ranjangaon lonikand kharadi near fast transforming sought destination,1,0,0,0,1,0,1,1088.0,73.0,4.30406509320417,66.31062531471252,75.10714285714286,69.76923076923077,5.0,75.72947364940978,13,0,4,0.3612,0.0,0.091,0.909,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,mantra gold offers stylish bedroom apartments easy accessibility airport star hotels lifestyle malls add greater value convenient happy lifestyle,1,0,0,0,1,0,1,1109.0,76.0,4.343805421853684,66.31062531471252,75.10714285714286,69.76923076923077,5.0,75.72947364940978,8,0,3,0.8885,0.0,0.434,0.566,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,+ years excellence real estate executing successful commercial residential projects mega townships parks retail malls one best come huge swimming pool built gym recreational club,1,0,0,0,1,0,1,1163.0,80.0,4.394449154672439,66.31062531471252,75.10714285714286,69.76923076923077,5.0,75.72947364940978,5,1,8,0.9371,0.0,0.419,0.581,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,mantra gold bhk flats kharadi new residential construction nestled amongst reputed eon ravet parks world class amanora seasons malls offers flats sale kharadi,1,0,0,0,1,0,1,1419.0,96.0,4.574710978503383,66.31062531471252,75.10714285714286,69.76923076923077,5.0,75.72947364940978,10,1,2,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1
pune,maharashtra,india,3.0,kharadi,mantra properties,mantra 29 gold,mantra gold one top residential hubs connected parts pimpri talegaon areas like aundh wakad etc also easily accessible region,1,0,0,0,1,0,1,1485.0,100.0,4.61512051684126,66.31062531471252,75.10714285714286,69.76923076923077,5.0,75.72947364940978,5,2,4,0.6908,0.0,0.295,0.705,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,2.0,balewadi,mantra properties,mantra monarch,newly launched mantra gold podium level amenities speak language great design township nestled intersection major routes old nh highway mumbai expressway,1,0,0,0,1,1,1,684.0,70.0,4.2626798770413155,83.75,75.10714285714286,80.0,5.0,75.72947364940978,10,1,5,0.8316,0.0,0.328,0.672,0,0,0,0,1,0,0,0,0,0
pune,maharashtra,india,3.0,balewadi,mantra properties,mantra monarch,located south western surrounded natural greens gets ample fresh air also offers many temples churches nearby religious activities done also comes package swimming pools gym club house ample amenities etc,1,0,0,0,1,1,1,990.0,90.0,4.51085950651685,83.75,75.10714285714286,80.0,6.0,121.36200002288817,4,3,9,0.5859,0.0,0.146,0.854,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,koregaon park,mantra properties,infinity,infinity amongst best using modern technology construction superstructure called alu form system wherein walls slabs typical floor gets cast one time multipurpose hall outdoor party terrace gymnasium indoor kids play area games room,1,0,0,0,1,1,1,882.0,97.0,4.584967478670572,108.5,75.10714285714286,108.5,5.0,75.72947364940978,15,3,3,0.8519,0.0,0.237,0.763,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,koregaon park,mantra properties,infinity,infinity offers serene peaceful ambience easy connectivity airport close star hotels lifestyle malls like phoenix market city amonora town centre seasons mall,1,0,0,0,1,1,1,1103.0,120.0,4.795790545596741,108.5,75.10714285714286,108.5,6.0,121.36200002288817,9,0,4,0.891,0.0,0.392,0.608,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,1.0,keshav nagar,mantra properties,mantra insignia,mantra insignia bhk flats keshav nagar mantra insignia much nature lover paradise delight aficionados gracious,1,0,0,0,1,1,1,543.0,42.0,3.7612001156935624,49.5,75.10714285714286,49.5,4.0,64.43418602610744,7,1,4,0.9477,0.0,0.585,0.415,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,keshav nagar,mantra properties,mantra insignia,manta insignia located prime locality keshav nagar residential property perfect abode prefer away madding crowds yet connected trappings modern,1,0,0,0,1,1,1,963.0,57.0,4.060443010546419,49.5,75.10714285714286,49.5,5.0,75.72947364940978,7,2,5,0.5719,0.0,0.171,0.829,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,keshav nagar,mantra properties,mantra insignia,mantra insignia surrounded nautre pristine pashan lake virtually neighbour coming soft murmurs lapping waters luxury many privy majestic sahyadri hills run ring around wherever green,1,0,0,0,1,1,1,1671.04,,,49.5,75.10714285714286,49.5,6.0,121.36200002288817,4,3,7,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,1.0,kirkatwadi sinhagad road,mantra properties,7hills,brilliant architecture spectacular designs marvellous finesse yet notch lower defines hills kirkatwadi sinhagad road enwrapped swarovski glamour edifices host bedroom luxury apartments kirkatwadi sinhagad road punes burgeoning east,1,0,0,0,1,1,1,320.0,14.0,2.70805020110221,20.666666666666668,75.10714285714286,20.666666666666668,4.0,64.43418602610744,8,3,6,0.7184,0.064,0.209,0.727,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,kirkatwadi sinhagad road,mantra properties,7hills,whether looking cozy comfortable amidst nature astute investment bound give high returns hills qualifies counts swimming pool clubhouse fully equipped gymnasium children play area,1,0,0,0,1,1,1,473.0,22.0,3.1354942159291497,20.666666666666668,75.10714285714286,20.666666666666668,5.0,75.72947364940978,8,1,4,0.6908,0.0,0.206,0.794,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,kirkatwadi sinhagad road,mantra properties,7hills,hill acre destination kirkatwadi sinhagad road long awaited response progressive luxurious world class projects house premium projects offer lifestyle experiences without urban difficulties pollution traffic space congestion,1,0,0,0,1,1,1,581.0,26.0,3.295836866004329,20.666666666666668,75.10714285714286,20.666666666666668,6.0,121.36200002288817,12,1,5,0.1994,0.039,0.067,0.893,0,0,0,0,0,0,0,0,0,1
pune,maharashtra,india,2.0,akurdi,mantra properties,mantra sky tower,mantra sky tower also offers create enthralling experience harmonious sensitive surrounding ecology yet facilitates high quality lifestyle built robust foundations universal design world class infrastructure acre developed multiple phases may contain parks schools hospitals multiplexes much,1,0,0,0,1,1,1,790.0,80.0,4.394449154672439,109.66666666666667,75.10714285714286,109.66666666666667,5.0,75.72947364940978,10,4,8,0.7579,0.0,0.185,0.815,0,0,0,0,0,0,0,0,0,1
pune,maharashtra,india,2.0,akurdi,mantra properties,mantra sky tower,mantra sky tower lives name every way sky tower truly surrounded luxury sides yet plays perfect host nature sort loves come luxury obtrusive overbearing delightful joie de vivre disappointed,1,0,0,0,1,1,1,820.0,83.0,4.430816798843313,109.66666666666667,75.10714285714286,109.66666666666667,5.0,75.72947364940978,11,2,5,0.9186,0.073,0.382,0.545,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,akurdi,mantra properties,mantra sky tower,mantra sky tower affords unique privilege cocooned private domain away prying world giving swift ready access city needs bright lights whether shopping kid school healthcare minutes drive away,1,0,0,0,1,1,1,989.0,101.0,4.624972813284271,109.66666666666667,75.10714285714286,109.66666666666667,6.0,121.36200002288817,9,2,8,0.8779,0.0,0.345,0.655,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,akurdi,mantra properties,mantra sky tower,peninsula provides easy connectivity kothrud baner balewadi hinjewadi park pashan aundh besides mumbai mumbaibengaluru highway ammenities like tennis court multi purpose hall available,1,0,0,0,1,1,1,1003.0,103.0,4.6443908991413725,109.66666666666667,75.10714285714286,109.66666666666667,6.0,121.36200002288817,12,1,4,0.6597,0.0,0.205,0.795,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,akurdi,mantra properties,mantra sky tower,mantra boasts elegant towers stories offering bedroom akurdi quality specification pleasing design great community form amenities like equipped clubhouse swimming pool children play park landscape garden,1,0,0,0,1,1,1,1182.0,128.0,4.859812404361672,109.66666666666667,75.10714285714286,109.66666666666667,6.0,121.36200002288817,11,0,3,0.9382,0.0,0.425,0.575,1,1,1,1,0,1,1,1,1,0
pune,maharashtra,india,5.0,akurdi,mantra properties,mantra sky tower,shopping entertainment education health transport facilities within km vicinity mantra sky tower complete package quality happiness peace mind,1,0,0,0,1,1,1,1579.0,163.0,5.099866427824199,109.66666666666667,75.10714285714286,109.66666666666667,8.0,122.5,14,0,2,0.872,0.0,0.398,0.602,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,0.0,pimpri pune,ravima ventures,the work club,ravima boasts elegant towers stories offering bedroom pimpri quality specification pleasing design great community form amenities like equipped children play park landscape garden,0,0,0,0,1,0,1,163.0,54.0,4.007333185232471,54.0,59.42857142857143,54.0,1.0,54.0,11,0,3,0.9382,0.0,0.463,0.537,1,1,1,1,0,1,1,1,1,0
pune,maharashtra,india,1.0,tathawade,ravima ventures,newton homes,brilliant architecture spectacular designs marvellous finesse yet notch lower defines hills tathawade enwrapped swarovski glamour edifices host bedroom luxury apartments tathawade punes burgeoning west,0,0,0,0,1,0,1,491.0,39.0,3.6888794541139363,54.0,59.42857142857143,60.333333333333336,2.0,44.91599998474121,6,3,5,0.7184,0.072,0.237,0.691,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,tathawade,ravima ventures,newton homes,ravima ventures also offers create enthralling experience harmonious sensitive surrounding ecology yet facilitates high quality lifestyle built robust foundations universal design world class infrastructure acre developed multiple phases may contain parks multiplexes much,0,0,0,0,1,0,1,659.0,51.0,3.9512437185814275,54.0,59.42857142857143,60.333333333333336,3.0,54.24677473498929,9,5,7,0.7579,0.0,0.2,0.8,0,0,0,0,0,0,0,0,0,1
pune,maharashtra,india,2.0,tathawade,ravima ventures,newton homes,newton bhk flats location translates advantageous investment north flourishing location connectivity tathwade hub booming industrial belt tathwade near fast transforming sought destination,0,0,0,0,1,0,1,732.0,60.0,4.110873864173311,54.0,59.42857142857143,60.333333333333336,3.0,54.24677473498929,11,0,4,0.3612,0.0,0.106,0.894,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,tathawade,ravima ventures,newton homes,newton homes located prime locality tathwade residential property perfect abode prefer away madding crowds yet connected trappings modern,0,0,0,0,0,0,1,809.0,66.0,4.204692619390966,54.0,59.42857142857143,60.333333333333336,3.0,54.24677473498929,4,2,5,0.5719,0.0,0.179,0.821,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,1.0,hadapsar,proviso group,lesiure town,presenting proviso group thoughtfully designed architectural marvel essence greek lifestyle every aspect right amidst flourishing neighbourhood hadapsar seamless connectivity uninterrupted views vicinity provides best comfort conveniences,0,0,0,0,1,1,1,460.0,45.5,3.8394523125933104,75.63750076293945,63.833333333333336,63.833333333333336,3.0,54.24677473498929,11,3,4,0.9042,0.0,0.357,0.643,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,hadapsar,proviso group,lesiure town,leisure town offering bhk flats hadapsar newly launched podium level amenities speak language great design functionality,0,0,0,0,1,1,1,734.0,72.5,4.297285406218791,75.63750076293945,63.833333333333336,63.833333333333336,4.0,64.43418602610744,9,1,1,0.6808,0.0,0.286,0.714,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,hadapsar,proviso group,lesiure town,robust infrastructure quality materials thoughtful design impressive facades hallmark excellence developed proviso group swimming pool gym facilities temples churches nearby,0,0,0,0,1,1,1,753.0,73.5,4.310799125385514,75.63750076293945,63.833333333333336,63.833333333333336,4.0,64.43418602610744,8,1,3,0.9081,0.0,0.437,0.563,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,hadapsar,ravima ventures,newton homes,ravima boasts elegant towers stories offering bedroom hadapsar quality specification great community form amenities like equipped clubhouse landscape garden,0,0,0,0,1,0,0,675.0,62.0,4.143134726391533,75.63750076293945,59.42857142857143,60.333333333333336,3.0,54.24677473498929,10,0,2,0.8658,0.0,0.377,0.623,1,1,1,1,0,1,1,1,1,0
pune,maharashtra,india,3.0,hadapsar,ravima ventures,newton homes,newton homes boasts elegant towers stories offering bedroom hadapsar quality specification great community form amenities like park garden,0,0,0,0,1,0,0,917.0,84.0,4.442651256490317,75.63750076293945,59.42857142857143,60.333333333333336,4.0,64.43418602610744,8,0,3,0.8658,0.0,0.393,0.607,1,1,1,1,0,1,1,1,1,0
pune,maharashtra,india,2.0,kiwale,unique properties,k ville,presenting k ville thoughtfully designed architectural marvel essence greek lifestyle every aspect right amidst flourishing neighbourhood kiwale seamless connectivity discover various unique lifestyle avenues catering needs every age group within vibrant community like minded residents,1,0,0,0,1,1,0,670.0,54.13999938964844,4.009875394526525,69.66499837239583,59.72818097201261,69.66499837239583,5.0,75.72947364940978,12,4,6,0.886,0.0,0.275,0.725,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,kiwale,unique properties,k ville,located prime locality kiwale residential property perfect abode prefer away madding crowds yet connected trappings modern pristine pashan lake virtually neighbour coming soft murmurs lapping waters luxury many privy,1,0,0,0,1,1,0,740.0,58.31999969482422,4.082946512125163,69.66499837239583,59.72818097201261,69.66499837239583,5.0,75.72947364940978,7,3,7,0.5719,0.0,0.117,0.883,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.5,kiwale,unique properties,k ville,perfect blend luxury convenience connectivity k ville features environment revolves around lifestyle way round located amidst city top social infrastructure address offers unmatched connectivity various landmarks,1,0,0,0,1,1,0,847.0,69.37999725341797,4.253909092868402,69.66499837239583,59.72818097201261,69.66499837239583,5.5,108.22799920654298,11,0,8,0.6369,0.045,0.191,0.764,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.5,kiwale,unique properties,k ville,bhk residences every feature thoughtfully planned keeping loved ones mind unique believe key true happiness lies spending quality time near ones even amenities spread across sq ft leave plenty avenues discover fun side life,1,0,0,0,1,1,0,936.0,75.02999877929688,4.3311279831848,69.66499837239583,59.72818097201261,69.66499837239583,5.5,108.22799920654298,10,2,4,0.9231,0.085,0.345,0.571,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,kiwale,unique properties,k ville,located beautiful upscale locale kiwale stands true symbol tasteful luxurious lavish thoughtfully designed multi storied consists units apartments features dedicated wardrobe niches master bedroom branded bathroom fittings space efficient modular kitchen large space,1,0,0,0,1,1,0,990.0,79.0199966430664,4.382276561477906,69.66499837239583,59.72818097201261,69.66499837239583,6.0,121.36200002288817,10,1,10,0.9349,0.0,0.352,0.648,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,kiwale,unique properties,k ville,offering configurations flats kiwale located away hustle bustle city life gear calmer peaceful environs happycity k villenow,1,0,0,0,1,1,0,1032.0,82.0999984741211,4.420044683499442,69.66499837239583,59.72818097201261,69.66499837239583,6.0,121.36200002288817,6,1,3,0.6908,0.0,0.289,0.711,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,kayani nagar,sagitarius ecospaces llp,bluegrass residences,boasts elegant towers stories offering bedroom model colony kalyani nagar quality specification pleasing design great community form amenities like equipped clubhouse children play area senior citizen area,1,0,0,0,1,1,1,1671.04,188.23,5.253842876446207,188.23,188.23,188.23,6.0,121.36200002288817,12,0,3,0.9382,0.0,0.413,0.587,1,1,1,1,0,1,1,1,1,0
